employee_id,Job_Title,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,digital_score,hard_score,wellness_score,productivity_index,composite_score,rating_label,capacity_mean,physical_mean,mental_mean,energy_mean,group,department,seniority,job_title,wellness_index,prod_adj,performance_score_adjusted,rating_label_adjusted
c4c45a01-39e8-4561-b936-fcf185b49920,Consultant (Cloud & Infra),Bachelor's,3,3733.33,36.0,32,0,3,50,5,60,2.980654046306955,3.613904639766352,3.2690408357075023,3.3549567009167625,7.02,Meets expectations,0.5530772131379963,4.833060054179392,5.808950675282286,6.02022792022792,pregnant,Cloud & Infra,Mid,Consultant (Cloud & Infra),5.5540795498965325,3.7258145412148727,3.8523234089843483,Advanced
51b2928a-4091-4430-97a6-50e6fea44476,Senior Consultant (Cybersecurity),Master's,2,6550.0,13.5,22,0,86,26,5,55,2.0251947681954507,1.6576496022233511,3.151496296296296,2.06668249082957,5.73,Partially meets,0.7008815953938008,4.090213710348349,6.3803183510134405,5.563555555555556,pregnant,Cybersecurity,Senior,Senior Consultant (Cybersecurity),5.344695872305782,2.6435291229524815,2.4482366649551923,Developing
01229a5b-b84d-4192-8dd3-429f7e705ba1,Junior Consultant (Cybersecurity),High School,3,2833.33,28.7,24,0,9,29,5,66,2.1441634476056644,2.653868233446857,3.324756335282651,2.635134418061658,6.73,Meets expectations,0.5726104441489847,4.847526800539627,5.501952388791503,6.637719298245614,pregnant,Cybersecurity,Junior,Junior Consultant (Cybersecurity),5.6623994958589146,2.899428580349823,2.7802239853726896,Proficient
a04f499a-83c0-49bd-b0d9-3c8783d5fad3,Junior Consultant (Cloud & Infra),High School,2,2350.0,23.3,22,0,5,17,5,65,1.6860671766944213,2.6411272619837285,3.1621652421652424,2.45881683243324,5.85,Partially meets,0.5170226048356866,3.8957726427243617,5.243578948429566,6.571509971509972,pregnant,Cloud & Infra,Junior,Junior Consultant (Cloud & Infra),5.2369538542213006,3.141658585041936,3.0944774464794325,Proficient
c791ec00-e86c-4e0a-b500-f75ae927521f,Consultant (Digital Transformation),Bachelor's,3,3191.67,23.9,26,0,67,51,5,61,3.044602022865669,2.078536063480403,3.3182621082621084,2.616301060252324,7.35,Meets expectations,0.707916081221427,5.132147294192762,5.610043732513085,6.196581196581197,pregnant,Digital Transformation,Mid,Consultant (Digital Transformation),5.646257407762348,2.8964755875374224,2.776392964467167,Proficient
8e33844d-9172-4ad5-8b27-a6f01128461c,Consultant (Software Engineering),Bachelor's,2,3416.67,21.5,25,0,69,44,5,60,2.7448397451590383,1.8610587458559884,3.3176638176638176,2.417514060008469,6.97,Meets expectations,0.7224857050346944,5.774011614249639,5.693324462328838,6.079059829059829,pregnant,Software Engineering,Mid,Consultant (Software Engineering),5.848798635212769,2.4984313041219033,2.25999618737891,Developing
c09c9402-669a-469e-a058-259344595ca9,Junior Consultant (Software Engineering),High School,3,2441.67,34.6,28,0,6,43,5,66,2.7008272081133224,3.334625101606371,3.285679012345679,3.134696515706318,7.4,Meets expectations,0.5661984907051546,4.647302493980575,5.782544493199668,6.705128205128205,pregnant,Software Engineering,Junior,Junior Consultant (Software Engineering),5.71165839743615,3.35053044585383,3.3654542202749576,Proficient
781d6d86-91db-4871-acda-441ec82f1deb,Senior Consultant (Digital Transformation),Master's,3,6208.33,21.2,26,0,9,19,5,55,1.77503875695888,2.7810229248405864,3.3326115859449192,2.589545406696941,5.61,Partially meets,0.5694488208855535,5.090395514621936,6.45014466696775,5.517663817663818,pregnant,Digital Transformation,Senior,Senior Consultant (Digital Transformation),5.686067999751169,2.8305548192989565,2.690871645157099,Proficient
07e68393-10f6-4521-b5c9-e5b4bba46304,Senior Consultant (Software Engineering),Master's,3,5083.33,21.4,27,0,5,19,5,56,1.7790661240808008,2.98748519472355,3.328528015194682,2.693168037624952,5.67,Partially meets,0.5626582883186161,5.160879421521188,6.043276801501542,5.683760683760683,pregnant,Software Engineering,Senior,Senior Consultant (Software Engineering),5.629305635594471,2.9900194859973537,2.897750737191548,Proficient
adc7a501-f6f4-446c-bfc3-5f46a45dcfac,Consultant (Digital Transformation),Bachelor's,2,3191.67,17.4,22,0,76,31,5,59,2.2499227080063133,1.570346610100032,3.3156790123456794,2.123285919921046,6.43,Partially meets,0.7458288426473637,5.400369502786398,6.2293823185396136,5.997685185185184,pregnant,Digital Transformation,Mid,Consultant (Digital Transformation),5.875812335503731,2.1776274559865554,1.8438061297473842,Developing
