employee_id,Job_Title,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,digital_score,hard_score,wellness_score,productivity_index,performance_score_original,composite_score,rating_label,group,department,seniority
c4c45a01-39e8-4561-b936-fcf185b49920,Consultant (Cloud & Infra),Bachelor's,3,3733.33,50.4,32,405,3,62,5,60,2.980654046306955,2.5024627409969096,3.175713200379867,2.7805702244665147,4,7.02,Meets expectations,pregnant,Cloud & Infra,Mid
51b2928a-4091-4430-97a6-50e6fea44476,Senior Consultant (Cybersecurity),Master's,2,6550.0,18.9,22,0,86,17,5,55,2.0251947681954507,1.5397149833045904,3.0216992592592593,1.9817557739627822,2,5.73,Partially meets,pregnant,Cybersecurity,Senior
01229a5b-b84d-4192-8dd3-429f7e705ba1,Junior Consultant (Cybersecurity),High School,2,2833.33,40.2,24,9,9,39,5,66,2.1441634476056644,1.8155900049763207,3.1956680311890837,2.1901776430076767,3,6.73,Meets expectations,pregnant,Cybersecurity,Junior
a04f499a-83c0-49bd-b0d9-3c8783d5fad3,Junior Consultant (Cloud & Infra),High School,2,2350.0,32.6,22,0,5,31,5,65,1.6860671766944213,1.58931924595127,3.0352807217473883,1.907535920333439,3,5.85,Partially meets,pregnant,Cloud & Infra,Junior
c791ec00-e86c-4e0a-b500-f75ae927521f,Consultant (Digital Transformation),Bachelor's,3,3191.67,33.5,26,0,67,33,5,61,3.044602022865669,2.0370411668190647,3.1893190883190883,2.569765007933051,4,7.35,Meets expectations,pregnant,Digital Transformation,Mid
8e33844d-9172-4ad5-8b27-a6f01128461c,Consultant (Software Engineering),Bachelor's,2,3416.67,30.2,25,0,69,29,5,60,2.7448397451590383,1.8836450837274106,3.1886854700854697,2.403011559428511,4,6.97,Meets expectations,pregnant,Software Engineering,Mid
c09c9402-669a-469e-a058-259344595ca9,Junior Consultant (Software Engineering),High School,3,2441.67,48.5,28,330,6,53,5,66,2.7008272081133224,2.167932289311334,3.152723456790123,2.5247589984476884,4,7.4,Meets expectations,pregnant,Software Engineering,Junior
781d6d86-91db-4871-acda-441ec82f1deb,Senior Consultant (Digital Transformation),Master's,2,6208.33,29.7,26,0,9,31,5,55,1.7750387569588801,1.8869662381163288,3.2001969610636274,2.116034138358554,2,5.61,Partially meets,pregnant,Digital Transformation,Senior
07e68393-10f6-4521-b5c9-e5b4bba46304,Senior Consultant (Software Engineering),Master's,2,5083.33,30.0,27,0,5,32,5,56,1.7790661240808008,1.9764903386198354,3.1934345679012344,2.1606519201144048,2,5.67,Partially meets,pregnant,Software Engineering,Senior
adc7a501-f6f4-446c-bfc3-5f46a45dcfac,Consultant (Digital Transformation),Bachelor's,2,3191.67,24.4,22,0,76,17,5,59,2.2499227080063133,1.626868335606898,3.2183993827160493,2.132090856748553,3,6.43,Partially meets,pregnant,Digital Transformation,Mid
209db4ad-d6df-4fb8-aa65-59ed0397889e,Senior Consultant (Data & Analytics),Master's,3,6491.67,31.8,30,0,78,32,5,54,3.1814845916035313,2.272945457864259,3.0668488888888885,2.7042878841909666,4,7.36,Meets expectations,pregnant,Data & Analytics,Senior
f9370afc-b186-4744-a681-7a39e690082e,Consultant (Cybersecurity),Bachelor's,3,3983.33,44.4,32,170,63,53,5,61,4.047364715585729,2.595481051682554,3.199852126200274,3.151920365757051,5,8.07,Meets expectations,pregnant,Cybersecurity,Mid
8639079c-cf10-4c67-a8f9-62ec20bc9348,Consultant (Software Engineering),Bachelor's,2,3958.33,23.6,22,0,65,16,5,59,1.8888549221765443,1.5674263264955588,3.032019204389575,1.9567734807786579,3,5.89,Partially meets,pregnant,Software Engineering,Mid
efdb82a9-7dba-4c34-bebb-285daf1d8665,Consultant (Software Engineering),Bachelor's,3,4408.33,40.0,27,0,69,45,5,61,3.7873899412636325,2.290614524158647,3.048317663817664,2.891187777221946,4,7.92,Meets expectations,pregnant,Software Engineering,Mid
65bb8e5f-488f-4848-981c-15e9a2cd1923,Junior Consultant (Software Engineering),High School,2,3116.67,43.3,25,127,8,45,5,65,2.2904535337455667,1.9704437364168732,3.1316539411206077,2.298688716556228,3,6.79,Meets expectations,pregnant,Software Engineering,Junior
19a2bd02-c1f0-42fa-ae73-66eca372fa96,Consultant (Digital Transformation),Bachelor's,2,4158.33,41.4,30,53,6,46,5,61,2.357421342132993,2.236443324215378,3.1861555555555556,2.4626791758586983,3,6.74,Meets expectations,pregnant,Digital Transformation,Mid
097b082d-49af-4207-bf3f-963d3895af60,Consultant (Cloud & Infra),Bachelor's,3,4166.67,43.8,30,147,9,51,5,62,2.6654029137039403,2.2980865897893796,3.186501169590643,2.5859644029240005,3,6.83,Meets expectations,pregnant,Cloud & Infra,Mid
4e0e864c-e6cd-4840-aa4c-944c28e45c04,Junior Consultant (Cloud & Infra),High School,2,2950.0,43.4,25,133,9,43,5,66,2.3711771452193826,1.9788043493736536,3.191126705653021,2.338980659383246,3,6.86,Meets expectations,pregnant,Cloud & Infra,Junior
ebb8b9ac-6f50-43a0-a3bd-c1c579f8ea94,Consultant (Software Engineering),Bachelor's,2,3466.67,25.0,20,0,81,22,5,63,2.459150158405243,1.6362104437760245,3.030657407407407,2.1619817508910666,3,6.26,Partially meets,pregnant,Software Engineering,Mid
9bdfcbd8-4e05-4d2e-8d70-4acdd46ba9a1,Junior Consultant (Data & Analytics),High School,2,2658.33,34.4,23,0,72,28,5,67,2.8016175324456465,1.808475752749798,3.2064888888888894,2.386020913886371,4,7.81,Meets expectations,pregnant,Data & Analytics,Junior
75be81c7-6cf7-4ddf-90dd-35e63517d58b,Senior Consultant (Data & Analytics),Master's,3,4758.33,44.4,36,171,9,59,5,55,2.9430340321953574,2.7001748813350144,3.0903608736942068,2.8510698250649558,3,6.66,Meets expectations,pregnant,Data & Analytics,Senior
b95bd73b-452d-4f2d-af0c-965611178fac,Junior Consultant (Data & Analytics),High School,3,2891.67,51.8,27,459,9,55,5,65,2.9071632031898784,2.2494946082587837,3.190925925925926,2.6350814502715405,4,7.47,Meets expectations,pregnant,Data & Analytics,Junior
9c2690aa-cf67-4bc4-8411-784bde665eb5,Consultant (Data & Analytics),Bachelor's,2,3725.0,25.8,22,0,65,23,5,59,2.2196721450935897,1.6347676430911668,2.919113854595336,2.0671082359927277,3,5.95,Partially meets,pregnant,Data & Analytics,Mid
466f73cd-ccae-4344-a9f2-796506021663,Consultant (Digital Transformation),Bachelor's,3,3891.67,43.5,30,136,14,52,5,59,2.747099078228871,2.3192884531422115,3.1916520467836254,2.6221043593964923,4,7.13,Meets expectations,pregnant,Digital Transformation,Mid
fc536f61-a812-4dd6-84ff-eb5ead702d8c,Consultant (Software Engineering),Bachelor's,2,4041.67,28.3,23,0,69,25,5,58,2.4292878470355035,1.7425719173222955,3.17582735042735,2.235237782857269,3,6.6,Meets expectations,pregnant,Software Engineering,Mid
b4010709-8fc4-4509-9596-8f4cba9c05d9,Consultant (Cybersecurity),Bachelor's,3,3525.0,39.5,27,0,61,43,5,62,3.524707754891704,2.261850839755442,3.2154128943758575,2.831420325220404,4,7.79,Meets expectations,pregnant,Cybersecurity,Mid
4df2be23-de8f-4bbc-85f6-ac8fc603d266,Junior Consultant (Cybersecurity),High School,2,2641.67,24.1,19,0,75,16,5,64,1.973806340453998,1.3795964900931958,2.9639392592592593,1.8747279990346493,3,6.03,Partially meets,pregnant,Cybersecurity,Junior
60274140-090b-496c-90a8-473a11de25ed,Consultant (Software Engineering),Bachelor's,2,4208.33,27.8,22,0,76,28,5,62,2.770566715022998,1.798282342966746,3.230843259259259,2.3764798378421244,3,6.78,Meets expectations,pregnant,Software Engineering,Mid
71014bf2-354e-4d32-9fa6-03eb10333d4b,Senior Consultant (Data & Analytics),Master's,2,6275.0,26.0,25,0,74,24,5,56,2.6180917608884613,1.8980228660223748,3.2381054814814814,2.382060057574022,3,6.79,Meets expectations,pregnant,Data & Analytics,Senior
9567396a-5c53-427c-a592-9e7e170c6bc2,Junior Consultant (Digital Transformation),High School,2,2516.67,23.4,20,0,67,17,5,67,1.714732369507836,1.4047311697865592,3.1798290809327843,1.8527511119321873,3,6.34,Partially meets,pregnant,Digital Transformation,Junior
eb231852-2fd1-4115-a47b-bfa0b0842615,Consultant (Software Engineering),Bachelor's,3,3333.33,44.3,29,168,11,49,5,58,2.6876896387745512,2.2857192741369916,3.094562768031189,2.568079082307099,3,6.71,Meets expectations,pregnant,Software Engineering,Mid
e7432e18-9a03-4ed5-a685-679801dfb520,Junior Consultant (Digital Transformation),High School,3,3108.33,48.3,27,323,7,52,5,65,2.683393962527843,2.1470803708974042,3.1268860398860396,2.503935582184263,4,7.4,Meets expectations,pregnant,Digital Transformation,Junior
1ce36f67-601a-48d3-84c6-57b6452002df,Senior Consultant (Cloud & Infra),Master's,2,4858.33,23.0,25,0,69,20,5,53,2.1480698223067813,1.7704910912145446,3.2334045584045583,2.1763474039802184,3,6.2,Partially meets,pregnant,Cloud & Infra,Senior
aca30d28-c592-4e72-92bf-53ccab5754ae,Senior Consultant (Cybersecurity),Master's,3,6633.33,33.8,30,0,65,36,5,55,3.1264982321512904,2.2964338981292824,3.0680384087791497,2.6997741004658584,4,7.17,Meets expectations,pregnant,Cybersecurity,Senior
154c1f13-c9aa-4d20-8f88-dfe890b30243,Senior Consultant (Data & Analytics),Master's,2,6500.0,32.3,29,0,12,36,5,55,2.0136465273806454,2.069619544859848,3.152192212725546,2.269342173189227,3,5.93,Partially meets,pregnant,Data & Analytics,Senior
709b06b8-49d5-4161-8558-cee83fb76a6d,Senior Consultant (Cloud & Infra),Master's,3,5933.33,31.6,28,0,64,32,5,55,2.810909870669586,2.1806178496530793,3.2749393689986284,2.588569759827141,4,7.01,Meets expectations,pregnant,Cloud & Infra,Senior
da2b604d-b80a-49d2-be92-1466e52b36b0,Managing Consultant (Cybersecurity),Bachelor's,2,8608.33,32.6,24,0,8,37,5,50,2.079778236821559,1.9716336662953649,3.1116153846153844,2.2320733811172273,3,5.93,Partially meets,pregnant,Cybersecurity,Manager
71d22eae-457a-487b-9154-25bdd78bf47a,Consultant (Data & Analytics),Bachelor's,2,3350.0,26.1,22,0,82,23,5,60,2.577541172810473,1.7353630275544087,3.039336419753086,2.2488111495709635,3,6.81,Meets expectations,pregnant,Data & Analytics,Mid
d62be5f4-34fa-47cc-9716-528b1f62e9c5,Consultant (Cybersecurity),Bachelor's,2,4016.67,40.0,29,0,5,48,5,60,2.3674750574679324,2.1552181482578905,3.1909035137701802,2.426032294123361,3,6.5,Meets expectations,pregnant,Cybersecurity,Mid
b0267f16-6c4d-41ea-823f-c56e83845ae7,Junior Consultant (Cybersecurity),High School,2,2816.67,30.6,21,0,80,28,5,66,2.8304630459661624,1.6690704425124634,3.0069953703703702,2.2850732091201547,4,7.37,Meets expectations,pregnant,Cybersecurity,Junior
e15b63db-7983-43a8-ba44-53113e268a63,Consultant (Cybersecurity),Bachelor's,3,3508.33,35.2,26,0,80,39,5,63,3.747408516308576,2.2285174916346313,3.041945987654321,2.8468704982407527,4,7.82,Meets expectations,pregnant,Cybersecurity,Mid
4a5f1383-42f0-44dc-8d09-8a9d41b3ae6b,Consultant (Digital Transformation),Bachelor's,2,3216.67,35.5,27,0,9,41,5,61,2.1689728507797787,1.9703887714223696,3.0278550807217472,2.2414572570894675,3,6.08,Partially meets,pregnant,Digital Transformation,Mid
52cff11a-1e2a-446f-a541-af6ada739558,Junior Consultant (Digital Transformation),High School,2,2900.0,20.2,17,0,78,8,5,67,1.5918882173990418,1.2127261420137339,3.207175617283951,1.7253646596833696,3,5.86,Partially meets,pregnant,Digital Transformation,Junior
b0717440-583d-4b17-ad05-36056ebd0d69,Consultant (Cloud & Infra),Bachelor's,3,3283.33,41.6,30,62,12,48,5,59,2.6012890050995594,2.274749273176601,3.092094931773879,2.536180324472944,3,6.64,Meets expectations,pregnant,Cloud & Infra,Mid
648295e6-51f1-46f2-b350-38eff626e32c,Consultant (Data & Analytics),Bachelor's,3,3358.33,31.6,25,0,78,32,5,61,3.212473020621046,1.9966680314170073,3.2186015432098767,2.605796230536793,4,7.41,Meets expectations,pregnant,Data & Analytics,Mid
8b3beb2a-f3c1-4da4-9b36-a17ce3949014,Senior Consultant (Cybersecurity),Master's,2,6066.67,24.5,23,0,79,20,5,55,2.5266477411666246,1.8035367081769151,3.2315759259259256,2.3060778616236304,3,6.62,Meets expectations,pregnant,Cybersecurity,Senior
65edb378-e272-4ffd-8dca-464043510fad,Junior Consultant (Cloud & Infra),High School,3,2850.0,41.5,25,59,70,40,5,66,3.4812928408819652,2.1340055117356798,3.180750712250712,2.747540750582572,5,7.97,Meets expectations,pregnant,Cloud & Infra,Junior
676de175-f892-48e6-89c9-6caf9e3e1d63,Consultant (Cybersecurity),Bachelor's,3,4158.33,48.8,32,343,13,59,5,59,2.9842027290426714,2.5144407134584013,3.144326900584795,2.781346555558961,4,7.21,Meets expectations,pregnant,Cybersecurity,Mid
d31622b5-d18b-466e-9be9-cac35b2a73d9,Consultant (Software Engineering),Bachelor's,2,3166.67,36.6,28,0,13,40,5,60,2.2177010991819053,2.0129888306726214,3.1507278752436645,2.301950320139615,3,6.27,Partially meets,pregnant,Software Engineering,Mid
bc371378-8bec-4cfb-a1c1-dfc9211a3919,Consultant (Cybersecurity),Bachelor's,2,4541.67,40.7,28,29,4,47,5,62,2.40211851494513,2.1920858517555706,3.1585680911680907,2.448392098594942,3,6.54,Meets expectations,pregnant,Cybersecurity,Mid
ef0cce63-90ac-4622-bf45-45765b1ec418,Consultant (Cybersecurity),Bachelor's,2,4066.67,22.5,21,0,67,17,5,61,1.9120785367103332,1.4819140614874655,3.185526210826211,1.9516858339220748,2,5.81,Partially meets,pregnant,Cybersecurity,Mid
ed9c2360-b771-458e-a7a2-b6520786d342,Junior Consultant (Cybersecurity),High School,3,2491.67,38.3,24,0,65,34,5,67,3.019695853982097,1.9846299301333898,3.1857519890260626,2.5353741190665366,5,8.0,Meets expectations,pregnant,Cybersecurity,Junior
8bcc1d76-78aa-4c22-a76c-0a4969eeff03,Senior Consultant (Digital Transformation),Master's,3,6508.33,39.9,30,0,10,50,5,55,2.622906103479239,2.34655107495721,3.221554580896686,2.604458284701714,3,6.4,Partially meets,pregnant,Digital Transformation,Senior
d3af9da2-8755-4daa-b034-1ae385bf122d,Consultant (Digital Transformation),Bachelor's,2,3200.0,28.3,22,0,11,30,5,59,1.6921073513612235,1.5881065229075033,3.1480879142300195,1.9313030497081227,2,5.41,Partially meets,pregnant,Digital Transformation,Mid
ad782ebe-e86a-4d7c-8a3b-2a58ac225ae0,Senior Consultant (Cybersecurity),Master's,2,6000.0,20.3,21,0,75,15,5,54,1.8449795157145132,1.5452555236109395,3.0684273504273505,1.9398070866052939,2,5.6,Partially meets,pregnant,Cybersecurity,Senior
51f1208d-451e-4792-9427-8aced2ec48fa,Consultant (Software Engineering),Bachelor's,3,3250.0,44.2,30,163,4,50,5,60,2.59841868001503,2.2981533347777843,3.177158784425451,2.5640340282784915,3,6.78,Meets expectations,pregnant,Software Engineering,Mid
4290c762-b1b5-423c-b448-6793a6f31463,Junior Consultant (Data & Analytics),High School,2,2516.67,31.6,22,0,8,28,5,65,1.5947877028688073,1.5982409374554658,3.153238986354776,1.9082045768593303,3,5.9,Partially meets,pregnant,Data & Analytics,Junior
